sentence_id	text	class_label	sentiment	subjectivity	word_count
30313	and so I know that this campaign have cause some questioning and worry on the part of many leader across the globe	No	0.5	0.5	22
19099	now let be balance the budget and protect Medicare Medicaid education and the environment	No	0.0	0.0	14
33964	I would like to mention one thing	No	0.0	0.0	7
16871	I must remind he the Democrats have control the Congress for the last twentytwo year and they write all the tax bill	Yes	0.0	0.06666666666666667	22
13150	and to take a chance uh   now be   and not make every effort that we could make to provide for some control over these weapon I think would be a great mistake	No	0.8	0.75	32
13386	well what he be say there in effect we be go to have inflation	No	0.0	0.0	14
28916	I be proud of the fact that violent crime be down in the State of Texas	Yes	-0.051851851851851864	0.762962962962963	16
10612	you know you may have see your health care premium go up	No	0.0	0.0	12
22058	if we be 4 trillion down we should have everything perfect but we do not	Yes	0.4222222222222222	0.6444444444444445	15
18005	and I make some tough decision	No	-0.3888888888888889	0.8333333333333334	6
20688	I serve for eight year in the House of Representatives and I serve on the Intelligence Committee specialize in look at arm control	Yes	0.0	0.0	23
14618	I think   you know I be start to understand it	No	0.0	0.0	10
32025	but when you talk about apology I think the one that you should really be apologize for and the thing that you should be apologize for be the 33000 email that you delete and that you acid wash and then the two box of email and other thing last week that be take from an office and be now miss	Yes	0.025000000000000005	0.21388888888888888	60
19916	there will not be 10 millionaire and 14 lawyer in the cabinet	No	0.0	0.0	12
8355	his experience have be different from mine	No	0.0	0.6	7
29499	and we well be awfully careful	No	-0.1	1.0	6
10170	that be what we need more of candy	No	0.5	0.5	8
17507	and if it be rape how do you draw moral judgment on that	No	0.0	0.25	13
20839	and many of the public school be meet the call	Yes	0.25	0.2833333333333333	10
5733	but when it come to economic policy essentially what you be propose be eight more year of the same thing	No	0.175	0.28125	20
9481	and that mean 98 percent of american family 97 percent of small business they will not see a tax increase	Yes	-0.1875	0.3625	20
2903	so these be the way that we can restore the strength of our country and they do not require long experience in foreign policy	No	-0.0875	0.2625	24
2110	and finally Medicaid to state	No	0.0	1.0	5
3187	what be more moral than peace and the United States be at peace today	No	0.25	0.375	14
21897	they conclude that my plan would cover everybody and his would leave 27 million behind by the year 2000 and that my plan in the next 12 year would save 22 trillion in public and private money to reinvest in this economy and the average family would save 1200 a year under the plan that I offer without any erosion in the quality of health care	Yes	-0.11000000000000001	0.3083333333333333	66
182	what I will do be permit people to buy into Medicaid	No	0.0	0.0	11
26427	because we have have tough aggressive trade policy and because we have get interest rate down	Yes	-0.27222222222222225	0.5611111111111111	16
14106	on the 2nd debate I offer since both side want the enterprise zone and we can not get together I say I will take a few day off and go to Washington and hold hand with you and we will get it do	Yes	-0.1	0.05	43
1017	now we will probably need to increase that to same extent	No	0.0	0.125	11
1072	but I do make a pledge that in the next ten day when we be ask the american people to make one of the most important decision in their lifetime because I think this election be one of the mast vital in the history of America that uh   we do together what we can to stimulate voter participation	No	0.16666666666666666	0.31666666666666665	58
20158	they be the one who have the challenge and they be people out there make prediction that it be not go to be the same	No	0.0	0.125	25
14683	I really can not believe Mr Bush be still try to make trust an issue after read my lip and 15 million new job and embrace what he call voodoo economic and embrace an export enhancement program for farmer he threaten to veto and go all around the country give out money in program that he once oppose	Yes	0.1787878787878788	0.28484848484848485	58
13343	one of the additional power that I would suggest would be seizure	No	0.0	0.0	12
13640	this be go to take fair share sacrifice	No	0.7	0.9	8
27204	and for that to happen we have to strengthen our economy here at home	No	0.0	0.0	14
17582	and as a matter of fact it just so happen that in the quirk of administer these taxis those above 50000 actually do not get quite as big a tax cut percentagewise as do those from 50000 down	Yes	-0.038888888888888896	0.14722222222222225	38
171	we have have enough of that lady and gentleman	No	0.0	0.5	9
16499	well Mr Ford be   be uh change uh considerably his previous philosophy	Yes	-0.033333333333333326	0.30833333333333335	12
25783	you do a lot of thing nobody know about	No	0.0	0.0	9
25904	that be why I bring the leader to Washington a few day ago	No	-0.2	0.1	13
16745	it call for an increase in the production of energy in the United States	Yes	0.0	0.0	14
1759	and I do both for corporation and for individual	No	0.0	0.4	9
26856	if we do those thing we will build that bridge to the 21st Century and the great country in history will be even great	No	0.5333333333333333	0.5	24
7859	I have be critical of this Administration and I have be critical of the President	No	0.0	0.8	15
22249	now as long as we put up with that that be what you be go to get	No	-0.05	0.4	17
26990	I be not go to wear rosecolore glass when it come to Russia or Mr Putin	No	0.0	0.0	16
24368	we be the one that work out the prison labor deal	Yes	0.0	0.0	11
19031	that be the country that I be go to fight for	No	0.0	0.0	11
20849	show we if they be learn to read write add and subtract and if so there will be bonus plan	No	0.0	0.0	20
22441	sure you can do that with Congress	No	0.5	0.8888888888888888	7
747	we have get to treat it as international crime	No	0.0	0.0	9
3935	yes I think we need more troop	No	0.5	0.5	7
21211	and like John McCain I have learn from experience and it be not a new position for I	No	-0.06818181818181818	0.45454545454545453	18
13340	I have suggest that the president should be give other weapon to protect the national interest in case of national emergency strike beyond the injunction provision of the TaftHartley Act	Yes	-0.125	0.375	30
25218	and we know what happen	No	0.0	0.0	5
20476	I know the oil company have be itch to do that but it be not the right thing for the future	No	0.14285714285714285	0.33035714285714285	21
505	well I must have be live through a different eight year then the one the vice president be be live through because this administration have cut and slash and cut and slash program for child for nutrition for the kind of thing that can help these youngster to live well life	Yes	0.2018181818181818	0.6	51
1810	what I have say be I will not put in place a tax cut that add to the deficit	No	0.0	0.0	19
33391	now what I be also argue be that bring undocumented immigrant out from the shadow put they into the formal economy will be good because then employer can not exploit they and undercut Americans wage	No	0.7	0.6000000000000001	35
7285	neighborhood be safe when we crack down on people who commit crime with gun	No	0.17222222222222222	0.3944444444444445	14
13900	look I be a job creator not a job destroyer	No	0.0	0.0	10
28340	look the problem be that under Governor Bush be plan 16 trillion tax cut mostly to the wealthy under his own budget number he propose spend more money for a tax cut just for the wealthy 1 than all the new money he budget for education health care and national defense combine	Yes	0.45606060606060606	0.7424242424242423	52
1906	I think first of all let I   let I repeat   let I repeat what I say	No	0.25	0.3333333333333333	16
9159	when you come out in 2014 I presume I be go to be president	No	0.0	0.0	14
27760	it be not my term it be the president be own Secretary of Defense call they devastate	Yes	0.6	1.0	17
24845	the US come together as we have not in many many year	No	0.5	0.5	12
24500	our funding for recovery be up recover the addict	Yes	0.0	0.0	9
27506	I think they see weakness where they have expect to find american strength	No	0.0	0.0	13
18131	now that be not the judgment that a president of the United States ought to make	No	0.0	0.0	16
14239	I love the fact that people will listen to a guy with a bad accent and a poor presentation manner talk about flip chart for 30 minute because they want the detail	No	-0.19999999999999996	0.6222222222222222	32
10893	Tom wave like that and I will look at you	No	0.0	0.0	10
18716	I be interested in work with our nation and do a lot of it	No	0.25	0.5	14
17320	the platform to which the President refer in fact call for a religious test in the selection of judge	No	0.0	0.25	19
757	now it be fine to say that sometimes you have to hit base camp but when the president see this state sponsoredfingerprint of Muammar Khadaffi on the loss of american life he hit Libya	Yes	-0.1277777777777778	0.5	34
21178	we need to say we each need to be responsible for what we do	No	0.2	0.55	14
21105	your future benefit would be cut by the amount that be divert into the stock market	Yes	0.0	0.125	16
24225	and so I will just be ask for support to get that put into effect	No	0.0	0.0	15
