	tweet_id	tweet_text	class_label	text_length	hashtags	mentions	text_length_category	hashtags_frequency	hashtags_sentiment	hashtags_topics
1539	"<s>كارمن كالفو: ""ما الذي تنوي فعله يا سيد كاسادو؟"" كايتانا لفاريز دي توليدو: لقد ألمحت إلى أن الحزب الشعبي يدعم الانقلاب.</s><s>الشخص الذي يتحدث ويذكر هو كايتانا.</s><s>#</s><s>SesionDeControl</s>"	Yes	34	#SesionDeControl	[]	31-40	1	0.0	2
3977	<s>كل عام زاد عدد الحضور والعارضين.</s><s>لكنه ليس مجرد معرض تجاري شكل نظاما بيئيا كاملا حوله ، مدفوعا بالتعاون بين القطاعين العام والخاص بين @<USER>آلاف الشركات.</s>	Yes	39		['@govern,', '@MWCapital,', '@bcn_ajuntament']	31-40	0	0.0	0
18634	<s>حسنا ، رؤية الإخفاقات التي واجهناها أو الصعوبات التي واجهتها الشركات.</s>	No	11		[]	11-20	0	0.0	4
12741	<s>حسنا ، أعتقد أنني أخبرتك بذلك من قبل.</s>	No	8		[]	0-10	0	0.0	4
5047	<s>هذه الحكومة هي حظيرة دجاج طوال اليوم.</s><s>الوزيرة بيلارا ، بالإضافة إلى إظهار لامبالاتها على رأس الوزارة ، تهاجم وتهين العدالة.</s><s>هناك مخرج واحد فقط: أن يستقيل سانشيز أو يتوقف.</s><s><USER>@</s>	No	42		['@GPPopular']	41-50	0	0.0	3
1429	"<s>أولئك الذين ينتقدون سجن المنافس السياسي مانويل فالس ""غير مسؤولين وجاهلين"".</s><s>يجب أن يكون غالبية الكتالونيين أيضا ""غير مسؤولين وجاهلين"": 77٪ ضد القادة المستقلين (استطلاع GAD3).</s><s>توسودا رياليتات.</s>"	No	41		[]	41-50	0	0.0	1
4300	"<s>في 30 يناير سنخرج إلى شوارع البلاد: ""سيكون مقاتلو EH Bildu في الداخل للمطالبة بوضع مركز الحياة في المركز ، الناس وليس النخب الاقتصادية ، للمطالبة بحياة كريمة ، بلد كريم"". #uU30GrebaOrokorra</s>"	No	51	#uU30GrebaOrokorra	[]	51-60	1	0.0	0
5486	<s>سنحصل أخيرا على البنية التحتية للسكك الحديدية التي نستحقها!</s><s>تقوم ADIF بتلميع المسارات عالية السرعة بين Plasencia و Badajoz ، والتي سيتم وضعها قريبا في الخدمة حتى نتمكن من الدوران براحة تامة.</s>	No	42		[]	41-50	0	0.0	0
12554	<s>صباح الخير.</s>	No	2		[]	0-10	0	0.0	4
12653	<s>ما نعطيه هو حافز للقيام بذلك</s>	No	11		[]	11-20	0	0.0	4
7167	<s>تغير المناخ يزيد الحرارة الشديدة ثمانية أضعاف</s>	Yes	10		[]	0-10	0	0.0	2
10291	<s>وقبل كل شيء ، دعونا نفعل ذلك لأنني مقتنع.</s>	No	6		[]	0-10	0	0.0	4
5868	<s>البث التلفزيوني المباشر للمنطقة الليلية</s>	No	9		[]	0-10	0	0.0	0
12529	<s>تسيطر ثلاث شركات على 80 في المائة من السوق.</s>	Yes	9		[]	0-10	0	0.0	0
10277	<s>بدأت مع لا ترافياتا.</s>	No	4		[]	0-10	0	0.0	0
