tweet_id	tweet_text	class_label	text_length	hashtags	mentions	text_length_category	class_label_encoded	hashtags_frequency	hashtags_sentiment	hashtags_topics
1240603314980392966	#SamenTegenCorona:applaus voor zorghelden, huisarts wordt dj en Aurelie (10) maakt pakkende video	No	98	SamenTegenCorona		91-100	0	1	0.0	0
1238094774453833730	Kabinet ondersteunt ondernemer in Corona-crisis #coronavirusNederland	No	69	coronavirusNederland		61-70	0	1	0.0	1
1238154603583156225	Heropening van het @<USER> in #Oosterbeekuitgesteld#Airborne#Covid19#coronavirus	No	84	Oosterbeek Airborne Covid19 coronavirus	airbornemuseum	81-90	0	4	0.0	3
1239152526026518534	Aantal restaurants in#groningen nu op slot.#blijfthuis	Yes	56	groningen blijfthuis		51-60	1	2	0.0	2
1244341963480076290	Nederland heeft het niet in de hand.Onbetrouwbaar#RIVMweet nog steeds niet waar het mee bezig is en politiekgrijpt niet in.#COVID2019NL#Coronavirusnl#RIVM RIVM verwacht toch meer #coronapati nten op intensive care	Yes	220	RIVM COVID2019NL Coronavirusnl RIVM coronapatiënten		100+	1	5	0.0	4
1242875052300869633	Zelfs de klokken van de Gertrudiskerk luiden vanavond voor hoop en troost.#COVID19NL	No	85	COVID19NL		81-90	0	1	0.0	0
1243450283885309952	Duitsland heeft relatief weinig doden op veel besmettingen.Wat doet Duitsland andersbeter?#COVID19NL	Yes	102	COVID19NL		100+	1	1	0.0	0
1254463173643698178	Hoi Lilian.Jouw conclusie klopt niet.Conclusie moet zijn dat ten onrechte #influenza en #covid19 ten onrechte juist als even gevaarlijk gestempeldworden.	No	156	influenza covid19		100+	0	2	0.0	3
1245747271750295552	Politiebond: test bij verdenking van coronaspuger #Coronavirus #Corona #COVID2019NL#COVID19	No	92	Coronavirus Corona COVID2019NL COVID19		91-100	0	4	0.0	3
1235620807847620608	Dit, we zijn fucked:#GGD en #RIVM testen liever niet want dan blijft het aantal vastgestelde zieken lekker laag testje positief?Vooral niet doorvertellen.Zeker niet de mensen waarschuwen waarmee je contact hebt gehad, want dan willen die ook getest worden.	Yes	260	GGD RIVM		100+	1	2	0.0	4
1238481431132766210	Extra#coronavirus maatregel:#Nederland weert vluchten uit #Itali , #Iran, #China en #ZuidKorea!#Coronavirusnl	Yes	112	coronavirus Nederland Italië Iran China ZuidKorea Coronavirusnl		100+	1	7	0.0	0
1254436690569068546	17:46:43u|Dode man aangetroffen in auto op de |Politie Limburg (Noord)Persinformatie | ^TZ #StaySafe#BlijfThuis	No	116	StaySafe BlijfThuis		100+	0	2	0.0	2
1248964026635374592	covid19 is nr.6 trending hashtag in NL in afgelopen 4 uur.#covid19	No	67	covid19		61-70	0	1	0.0	3
1243856455071150080	De meeste ge nfecteerden ervaren corona als een griep.Zouden we kunnen volstaan met #anderhalvemeter afstand?Ook in restaurants ed. vraag voor @<USER> :Kunnen we volstaan met kwetsbare groepen beschermen en eventueel isoleren?Hulpverlenerskunnen beschermende kleding dragen?	Yes	279	anderhalvemeter	rivm	100+	1	1	0.0	1
1240310892979519498	Retweet!@<USER> ontwikkelde met @<USER> een e-learningKennis over #COVID19 Bedoeld voor #artsen en #verpleegkundigen die nu worden ingezet in de bestrijding van uitbraak #COVID19	No	180	COVID19 artsen verpleegkundigen COVID19	NSPOH rivm	100+	0	4	0.0	3
1237392981113491458	De #BrandweerBRZO netwerkdag van 12 maart wordt uitgesteld i.v.m. #COVID19.Aanmelden heeft dus geen zin meer.	No	110	BrandweerBRZO COVID19		100+	0	2	0.0	3
1247538226262204418	Ook van het#LCPS: De huidige maatregelen zullen waarschijnlijk langer duren..#covid19nl#coronavirusnederland#coronavirusnl#rivm#ikblijfthuis	No	146	LCPS covid19nl coronavirusnederland coronavirusnl rivm ikblijfthuis		100+	0	6	0.0	0
1241733654088482817	@<USER>let ophet is niet alleen gevaarlijk voor met een zwakke gezondheid, dat denkenveel mensen wel #coronavirusNederland	Yes	125	coronavirusNederland	VoetbalPrimeur	100+	1	1	0.0	1
1239165105251721218	Ook het verhaal dat jongeren enkel besmet raken blijkt niet te kloppen...#scholendicht#coronavirusnetherlands#CoronaVirusUpdates#Coronavirusnl	Yes	146	scholendicht coronavirusnetherlands CoronaVirusUpdates Coronavirusnl		100+	1	4	0.0	3
1239894562023276544	#Euro2020 wordt uitgesteld naar 2021.#rodeduivels #covid19#uefa	Yes	65	Euro2020 rodeduivels covid19 uefa		61-70	1	4	0.0	3
1245421989050941441	Ik heb deze hele dag nog geen 1-aprilgrap gezien of gehoord.#houdafstand	No	73	houdafstand		71-80	0	1	0.0	3
1238108221178613773	Extra maatregelen zegt het @<USER> - die worden nu toegelicht #persconferentie	No	78	persconferentie	rivm	71-80	0	1	0.0	4
1242391456037236736	Supermarkten hebben dankzij het #hamsterengoede zaken gedaan.In de tweede week van maart werd meer omzet gerealiseerd dan in de week voor kerst.Rijst stond bij veel mensen hoog op het boodschappenlijstje #KassaTV	No	215	hamsteren KassaTV		100+	0	2	0.0	2
1246039593218117632	@<USER>Het#RIVM en het kabinet @<USER> hebben via nalatig en gebrekkig beleid #Nederland gebracht in de wereldwijde top van meeste doden per inwoner en nu draait de #propaganda machine op volle toeren zodat de #VVD nog harder kan stijgen in de peilingen.Lijkt #NoordKorea wel.	Yes	279	RIVM Nederland propaganda VVD NoordKorea	RTLnieuws MinPres	100+	1	5	-0.02	0
1231965325236801538	Zevende dode door #coronavirus in #Itali , Oostenrijk opent grens weer via @<USER>	Yes	82	coronavirus Italië	nieuwsblad_be	81-90	1	2	0.0	1
1242727727473590273	Als je #groepsimmuniteit #Covid-19 wilt laten werken, moet je wel weten wie immuniteit hebben opgebouwd.Die kunnen dan weer gewoon aan de slag en de economie en zorg laten draaien.	Yes	181	groepsimmuniteit Covid		100+	1	2	0.0	4
1243116576397840384	Morgen worden de maatregelen voor het Onderwijs aangekondigd #Coronadebat #LenenIsNietEenOplossing#NietMijnSchuld	Yes	114	Coronadebat LenenIsNietEenOplossing NietMijnSchuld		100+	1	3	0.0	2
1238151439165374467	#coronavirus #CoronaVirusUpdatesItaliUPDATE 11.0310590 positief, 827overleden, 1045genezen=12.462 5838 in ziekenhuis + 1028op IC, 3724thuisisolement =1059012.0312839 positief, 1016 ovl, 1258genezen=151136650 in ziekenhuis + 1153op IC, 5036thuisisolement =12839	Yes	275	coronavirus CoronaVirusUpdates		100+	1	2	0.0	3
1244601005725155329	Twee (57 & 84jr) dierbaren verloren aan dat verschrikkelijke #Covid_19virus.Vandaag de eerste van 2 pakket bloemen ontvangen, om erbij te leggen.	No	147	Covid_19		100+	0	1	0.0	4
1252649877445713921	#persconferentie dumbass Dissel beroept zich dus op het gebrek aan verschijnselen bij kinderen , omdat ze zoveel minder last hebben kunnen scholen open en al de volwassenen die daarmee gemoeid zijn...	Yes	200	persconferentie		100+	1	1	0.0	4
1245270648055791616	Technische briefing livevan het #RIVMop #npo1	No	47	RIVM npo1		41-50	0	2	0.0	4
1244925961403064320	#Itali eist steun voor #coronacrisis en hekelt in krant Nederlandse houding via @<USER>AHAnu gaan we communiceren op het hoogste #EUROPSE NIVEAU VIA DE #KRANT ITAKKERS DRAMAQUEENS !	Yes	183	Italië coronacrisis EUROPSE KRANT	NUnl	100+	1	4	0.0	1
1254691090931867648	Alweer mijn 7e week thuis de tijd vliegt voorbij #thuiswerken #coronavirusNederland #BlijfThuis #blijfgezond	No	108	thuiswerken coronavirusNederland BlijfThuis blijfgezond		100+	0	4	0.0	2
1241674081205989377	De overheid gaf zojuist een NL Alert uit vanwege de #Covid19crisis.	No	68	Covid19		61-70	0	1	0.0	3
1239088804973219841	#hamsteren gaat levens redden, meer kopen betekent minder bezoek aan winkel, betekent minder kans op besmetting	Yes	111	hamsteren		100+	1	1	0.0	2
1233044196136771584	#COVID20!9 #CoronaVirusUpdates- Geen enkel vliegtuig dat migrantenvervoert,mag de komende vier weken in Italie landenCoronavirus, bloccati i trasferimentidei profughi dublinanti da e per l'Italia via @<USER>	No	212	COVID20 CoronaVirusUpdates	repubblica	100+	0	2	0.0	3
1242348788636925952	@<USER>Het gaat slecht in alle landen en streken waar rechtse liberale politicy het voor het zeggen hebben #Corona #SARSCoV2 #Covid_19	Yes	135	Corona SARSCoV2 Covid_19	Bijan63	100+	1	3	0.0	4
1252162597694177280	blijfthuis is nr.7 trending hashtag in NL in afgelopen 4 uur.#blijfthuis	No	73	blijfthuis		71-80	0	1	0.0	2
1240798052182523907	@<USER>Er wordt ook gekeken naar de virusremmer #remdesivir als behandeling bij #Covid_19	Yes	90	remdesivir Covid_19	KDepoorterMP	81-90	1	2	0.0	4
1244618178010980352	#RIVM cijfers 30 maart (sinds 1990 #DoctorsDay in de #USA)zijn automatisch verwerkt.Voor extra inzicht kunnen grafiekenkaarten worden toegevoegd door op de iconen te klikken.Hier een kaart met het aantal nieuwe pati nten.#coronavirus #COVID19	No	246	RIVM DoctorsDay USA coronavirus COVID19		100+	0	5	0.0	3
1247859143161061377	EU is #COVID19 campagne voor Afrika begonnen, goed zo!	No	54	COVID19		51-60	0	1	0.0	3
1240009951776407553	@<USER>Individuele #sportin buitenlucht is toegelaten, zelfs aangeraden.Daar word ik nu vrolijk van, zie #COVID19BE	No	118	sport COVID19BE	Markec	100+	0	2	0.0	0
1243932961264865281	#COVID19 - 93 nieuwe Coronadoden, totaal tot nu toe639.Dit cijferzegt NIETS.In werkelijkheid misschien wel tweemaal zo hoog doordat niet getest wordt bij ouderen die kampen met verschijnselen van Corona en vervolgens niet getest overlijden.	Yes	244	COVID19		100+	1	1	0.0	3
1253546720526512130	covid19 is nr.7 trending hashtag in NL in afgelopen 2 uur.#covid19	No	67	covid19		61-70	0	1	0.0	3
1240604862368419842	@<USER>#RIVM data en WHO data wijken behoorlijk af Andere maatregelen!#Rutte kijkt naar #RIVM en stuurt daar op Terecht dat TK zegtdat hij dat fout doet!Bizar dat hij dat niet goed doet!	Yes	190	RIVM Rutte RIVM	smeelen2 RTLZ	100+	1	3	0.0	4
1240756062992715776	Allemaal heel goed.Maar dit gaat over gemaakte (grote)fouten.Laat NL (Europa) beginnen met grootschalig #testen en ontdekte gevallen apart zetten.Zo hebben Singapore, Taiwan, HK het virus ingedamd.Nederland is toch zo goed met indammen?	Yes	241	testen		100+	1	1	0.0	1
1231589834466177025	Italianen zetten zich schrap voor noodmaatregelen om virus #coronavirus #Hubei#Itali#Wuhan	No	92	coronavirus Hubei Italië Wuhan		91-100	0	4	0.0	1
1245744908893392898	Het Europees Parlement sluit de rangen met andere EU-partners om enkel betrouwbare informatie over #Covid19 te verspreiden.Zorg ervoor dat je je bronnen goed nakijkt want nepnieuws en mythen verspreidenrazendsnel!Meer lezen:	No	227	Covid19		100+	0	1	0.0	3
1254684334386184194	Door #COVID19 is er een terugval van activiteit binnen veel ondernemingen.Kan een werkgever werknemers verplichten om nu vakantie te nemen, om deze terugval op te vangen?En hoe zit het met extralegale vakantiedagen?@<USER> geeft een antwoord.	No	245	COVID19	PartenaPro	100+	0	1	0.0	3
1247560632263749634	Aub sluit speeltuinen en speelplekken, met name speeltoestellen van metaal zijn een grote bron van besmetting!#persconferentie	Yes	127	persconferentie		100+	1	1	0.0	4
1247577624643338245	NIEUWS Kabinet en coronagezant willen app die wijst op contact met besmette landgenoot #coronavirusNederland #coronavirus #CoronaVirusUpdate met @<USER>	No	152	coronavirusNederland coronavirus CoronaVirusUpdate	ChrisMersbergen	100+	0	3	0.0	1
1248648423114526722	Je kan in Amsterdam beter een vliegtuig hebben dan een auto.#gratisparkeren #COVID19NL	No	87	gratisparkeren COVID19NL		81-90	0	2	0.0	0
1246917801157308416	#COVID19Bill Gates: we bouwen fabrieken voor 7 vaccins via @<USER>dat is tot een raar idee als je dit zieted talk kijk op 04:29	No	130	COVID19	telegraaf	100+	0	1	0.0	3
1246743490656075777	Weer twee coronapatienten overleden en veertien nieuwe besmettingen in Friesland #blijfthuis #Coronavirusnl#Fryslan	No	116	blijfthuis Coronavirusnl Fryslan		100+	0	3	0.0	2
1245045956766294019	Laatste update: inzet #defensiein strijd tegen #COVID-19#coronavirustot en met 310320.	No	89	defensie COVID coronavirus		81-90	0	3	0.0	2
1239223319435624450	Alsnog dan deze beslissing.Kon niet uitblijven, na massale - terechte - druk vanuit de samenleving.#COVID19NL#corona Kabinet:Scholen gaan alsnog dicht, ook horeca en sportclubs op slot	No	188	COVID19NL corona		100+	0	2	0.0	0
