	tweet_id	tweet_text	class_label	text_length	hashtags	mentions	text_length_category	class_label_encoded	hashtags_frequency	hashtags_sentiment	hashtags_topics
0	1240603314980392966	<s>#SamenTegenCorona:</s><s>applaus voor zorghelden, huisarts wordt dj en Aurelie (10) maakt pakkende video</s>	No	98	SamenTegenCorona		91-100	0	1	0.0	0
1	1238094774453833730	<s>Kabinet ondersteunt ondernemer in Corona-crisis #coronavirusNederland</s>	No	69	coronavirusNederland		61-70	0	1	0.0	1
2	1238154603583156225	<s>Heropening van het @<USER> in #Oosterbeek uitgesteld</s><s>#Airborne</s><s>#Covid19</s><s>#coronavirus</s>	No	84	Oosterbeek Airborne Covid19 coronavirus	airbornemuseum	81-90	0	4	0.0	3
3	1239152526026518534	<s>Aantal restaurants in</s><s>#groningen nu op slot.</s><s>#blijfthuis</s>	Yes	56	groningen blijfthuis		51-60	1	2	0.0	2
4	1244341963480076290	<s>Nederland heeft het niet in de hand.</s><s>Onbetrouwbaar</s><s>#RIVM</s><s>weet nog steeds niet waar het mee bezig is en politiek</s><s>grijpt niet in.</s><s>#COVID2019NL</s><s>#Coronavirusnl</s><s>#RIVM RIVM verwacht toch meer #</s><s>coronapati nten op intensive care</s>	Yes	220	RIVM COVID2019NL Coronavirusnl RIVM coronapatiënten		100+	1	5	0.0	4
5	1242875052300869633	<s>Zelfs de klokken van de Gertrudiskerk luiden vanavond voor hoop en troost.</s><s>#COVID19NL</s>	No	85	COVID19NL		81-90	0	1	0.0	0
6	1243450283885309952	<s>Duitsland heeft relatief weinig doden op veel besmettingen.</s><s>Wat doet Duitsland andersbeter?</s><s>#COVID19NL</s>	Yes	102	COVID19NL		100+	1	1	0.0	0
7	1254463173643698178	<s>Hoi Lilian.</s><s>Jouw conclusie klopt niet.</s><s>Conclusie moet zijn dat ten onrechte #influenza en #covid19 ten onrechte juist als even gevaarlijk gestempeld worden.</s>	No	156	influenza covid19		100+	0	2	0.0	3
8	1245747271750295552	<s>Politiebond: test bij verdenking van coronaspuger #Coronavirus #Corona #COVID2019NL #COVID19</s>	No	92	Coronavirus Corona COVID2019NL COVID19		91-100	0	4	0.0	3
9	1235620807847620608	<s>Dit, we zijn fucked:</s><s>#GGD en #</s><s>RIVM testen liever niet want dan blijft het aantal vastgestelde zieken lekker laag test je positief?</s><s>Vooral niet doorvertellen.</s><s>Zeker niet de mensen waarschuwen waarmee je contact hebt gehad, want dan willen die ook getest worden.</s>	Yes	260	GGD RIVM		100+	1	2	0.0	4
10	1238481431132766210	<s>Extra #coronavirus maatregel:</s><s>#Nederland weert vluchten uit #Itali , #Iran, #China en #ZuidKorea!</s><s>#Coronavirusnl</s>	Yes	112	coronavirus Nederland Italië Iran China ZuidKorea Coronavirusnl		100+	1	7	0.0	0
11	1254436690569068546	<s>17:46:43u</s><s>|</s><s>Dode man aangetroffen in auto op de |</s><s>Politie Limburg (Noord)</s><s>Persinformatie | ^TZ #StaySafe</s><s>#BlijfThuis</s>	No	116	StaySafe BlijfThuis		100+	0	2	0.0	2
12	1248964026635374592	<s>covid19 is nr.6 trending hashtag in NL in afgelopen 4 uur.</s><s>#covid19</s>	No	67	covid19		61-70	0	1	0.0	3
13	1243856455071150080	<s>De meeste ge nfecteerden ervaren corona als een griep.</s><s>Zouden we kunnen volstaan met #anderhalvemeter afstand?</s><s>Ook in restaurants ed. vraag voor @<USER> :</s><s>Kunnen we volstaan met kwetsbare groepen beschermen en eventueel isoleren?</s><s>Hulpverleners kunnen beschermende kleding dragen?</s>	Yes	279	anderhalvemeter	rivm	100+	1	1	0.0	1
14	1240310892979519498	<s>Retweet!</s><s>@<USER> ontwikkelde met @<USER> een e-learning</s><s>Kennis over #COVID19 Bedoeld voor #artsen en #verpleegkundigen die nu worden ingezet in de bestrijding van uitbraak #COVID19</s>	No	180	COVID19 artsen verpleegkundigen COVID19	NSPOH rivm	100+	0	4	0.0	3
15	1237392981113491458	<s>De #BrandweerBRZO netwerkdag van 12 maart wordt uitgesteld i.v.m. #COVID19.</s><s>Aanmelden heeft dus geen zin meer.</s>	No	110	BrandweerBRZO COVID19		100+	0	2	0.0	3
16	1247538226262204418	<s>Ook van het #LCPS: De huidige maatregelen zullen waarschijnlijk langer duren..</s><s>#covid19nl</s><s>#coronavirusnederland #coronavirusnl</s><s>#rivm #ikblijfthuis</s>	No	146	LCPS covid19nl coronavirusnederland coronavirusnl rivm ikblijfthuis		100+	0	6	0.0	0
17	1241733654088482817	<s>@<USER> let op</s><s>het is niet alleen gevaarlijk voor met een zwakke gezondheid, dat denken</s><s>veel mensen wel #coronavirusNederland</s>	Yes	125	coronavirusNederland	VoetbalPrimeur	100+	1	1	0.0	1
18	1239165105251721218	<s>Ook het verhaal dat jongeren enkel besmet raken blijkt niet te kloppen...</s><s>#scholendicht</s><s>#coronavirusnetherlands #CoronaVirusUpdates</s><s>#Coronavirusnl</s>	Yes	146	scholendicht coronavirusnetherlands CoronaVirusUpdates Coronavirusnl		100+	1	4	0.0	3
19	1239894562023276544	<s>#Euro2020 wordt uitgesteld naar 2021.</s><s>#rodeduivels #covid19</s><s>#uefa</s>	Yes	65	Euro2020 rodeduivels covid19 uefa		61-70	1	4	0.0	3
20	1245421989050941441	<s>Ik heb deze hele dag nog geen 1-aprilgrap gezien of gehoord.</s><s>#houdafstand</s>	No	73	houdafstand		71-80	0	1	0.0	3
21	1238108221178613773	<s>Extra maatregelen zegt het @<USER> - die worden nu toegelicht #persconferentie</s>	No	78	persconferentie	rivm	71-80	0	1	0.0	4
22	1242391456037236736	<s>Supermarkten hebben dankzij het #hamsteren</s><s>goede zaken gedaan.</s><s>In de tweede week van maart werd meer omzet gerealiseerd dan in de week voor kerst.</s><s>Rijst stond bij veel mensen hoog op het boodschappenlijstje #KassaTV</s>	No	215	hamsteren KassaTV		100+	0	2	0.0	2
23	1246039593218117632	<s>@<USER></s><s>Het #RIVM en het kabinet @<USER> hebben via nalatig en gebrekkig beleid #Nederland gebracht in de wereldwijde top van meeste doden per inwoner en nu draait de #propaganda machine op volle toeren zodat de #VVD nog harder kan stijgen in de peilingen.</s><s>Lijkt #NoordKorea wel.</s>	Yes	279	RIVM Nederland propaganda VVD NoordKorea	RTLnieuws MinPres	100+	1	5	-0.02	0
24	1231965325236801538	<s>Zevende dode door #coronavirus in #Itali , Oostenrijk opent grens weer via @<USER></s>	Yes	82	coronavirus Italië	nieuwsblad_be	81-90	1	2	0.0	1
25	1242727727473590273	<s>Als je #groepsimmuniteit #Covid-19 wilt laten werken, moet je wel weten wie immuniteit hebben opgebouwd.</s><s>Die kunnen dan weer gewoon aan de slag en de economie en zorg laten draaien.</s>	Yes	181	groepsimmuniteit Covid		100+	1	2	0.0	4
