tweet_id	tweet_text	class_label	text_length	hashtags	mentions	text_length_category	hashtags_frequency	hashtags_sentiment	hashtags_topics
6761	In juli 2018<USER> @ gaf een levendige toespraak die hem naar het presidentschap leidde Vandaag op Plaza Toros neemt Valencia Spanje mee #CreemosElCambio	No	38	#CreemosElCambio	['@pablocasado_', '@populares']	31-40	1	0.0	3
2027	De voorzitter van Renfe, Isaías Taboas, overhandigt de minister @<USER> het eerste ticket #Avlo nieuwe goedkope AVE-service	No	25	#Avlo,	['@mitmagob,', '@abalosmeco']	21-30	1	0.0	0
2977	"@<USER> nl : ""Bildu Sortu en Otegi zijn nu de wolf #Euskadi Roodkapje Madrid""."	No	19	#Euskadi	['@andoniortuzar,', '@Herri_Irratia:']	11-20	1	0.0	3
18093	En als deze mensen gelukkig zijn en je vooral aanmoedigen om door te gaan, laten ze zien dat we de dingen goed doen.	No	22		[]	21-30	0	0.0	4
6284	Interview met Joan Torres: Barcelona kan zijn status als hoofdstad verliezen en daarmee Catalonië Lees het op: @<USER>	No	19		['@BCNmetropoli']	11-20	0	0.0	1
1691	Zoveel frivoliteit! 118 dagen sinds 28A met: Slechtste werkgelegenheids- of werkloosheidscijfers in 11 jaar De economie vertraagt de recessie van de industrie Record overheidsschuld .. en nadat hij geen seconde heeft besteed aan het onderhandelen over een regeringsprogramma, neemt Sánchez er nog een paar	Yes	48		[]	41-50	0	0.0	0
9569	Het verwelkomen van immigranten in luxe hotels en het opproppen van Spanjaarden die net een catastrofe hebben meegemaakt, sportcentra, zoals samengevat door het hypocriete beleid van deze bende bandieten die zich met politiek bezighouden.	Yes	36		[]	31-40	0	0.0	1
1752	EH Bildu vindt de verhoging van het minimumloon onvoldoende en dringt erop aan dat deze wordt aangepast aan de sociaal-economische realiteit van CAV Navarra. Eerste initiatieven Minimumlonen 1.200 . Minimumpensioenen 1.080 Overdrachten in behandeling.	No	42		[]	41-50	0	0.0	3
12106	Onze luisteraars houden ook van meer politieke rock en zware muziek.	No	13		[]	11-20	0	0.0	4
12606	Kijk, oktober, we hebben het al over nietsdagen en dat we begin volgend jaar dit vaccin op de markt zouden kunnen brengen, het is niet alleen de trots om een Spanjaard te zijn, het zal beter zijn, de vaccins bestaan nu, ze hebben ons.	No	56		[]	51-60	0	0.0	4
3559	De plenaire vergadering van de @<USER> heeft vandaag de RDL gevalideerd waarmee het de herwaardering en het behoud van pensioenen, openbare uitkeringen, socialezekerheidsstelsel vaststelt. De maatregel vertegenwoordigt een 0,9% zal ten goede komen aan meer dan 11 1 miljoen #pensiones.	Yes	46	#pensiones.	['@Congreso_Es']	41-50	1	0.0	0
14230	Ik weet niet of ik ga zeggen, kopieer de projecten die in Asturië studeren, is het niet ook vertrouwelijkheid van de bedrijven zelf, zijn we met hen?	No	32		[]	31-40	0	0.0	4
12649	Als ik hier zou komen en hem zou vertellen, nou, het gaat niet gebeuren.	No	18		[]	11-20	0	0.0	4
8237	Maar wat is er gebeurd met het syndroom van Down? Ze zijn zo goed als verdwenen. Ons links, dat zo bezorgd is om hen niet te beledigen door hen 'verminderd' te noemen, wil hen niet kennen? Zal Downphobia er geen misdaad van maken?	No	37		[]	31-40	0	0.0	4
5961	Een paar uur na de couppogingen wijzigt Bolsonaro de internetregelgeving om te voorkomen dat accounts en profielen worden gesanctioneerd en nepnieuws verspreiden. Het doel: morgen je leger van leugenaars ontketenen	No	41		[]	41-50	0	0.0	1
5325	Slecht nieuws voor Casado: het gaat goed met Spanje.	No	8		[]	0-10	0	0.0	4
13478	Hij begrijpt hun woede, het is nu tijd om snel de namen van de kandidaten te achterhalen.	No	16		[]	11-20	0	0.0	4
17520	En Yolanda Díaz aan de ministers.	No	6		[]	0-10	0	0.0	3
19757	Geneeskunde en kunstmatige intelligentie wenden zich steeds meer tot de klassiekers: geschiedenis, ethiek, filosofie, om de patiënt te begrijpen, technologische vooruitgang te begeleiden, de wereld te verklaren.	No	34		[]	31-40	0	0.0	1
2856	Seksistisch geweld eist het leven van Ana, een lerares uit Granada die streed voor vrouwenrechten en op zoek was naar een 'nieuw leven' Al mijn veroordeling, alle steun aan haar familie #NiUnaMas	No	37	#NiUnaMas	[]	31-40	1	0.0	1
5178	@<USER> in De #CongresodelosDiputados kan geen ring zijn Politici moeten met meer terughoudendheid handelen #serejemplo	No	20	#CongresodelosDiputados #serejemplo	['@LaHoraTVE']	11-20	2	0.0	3
10522	En als ik de whatsappjes eruit moet halen, haal ik hem eruit.	No	9		[]	0-10	0	0.0	4
6646	Peru vandaag: Huishoudelijk personeel: vakbonden mobiliseerden zich in het hele land en verwierpen de vacature en de staatsgreep van ultrarechts. Na jaren van neoliberalisme blijft de straat vragen om een #NuevaConstitución #NoALaVacancia	No	37	#NuevaConstitución #NoALaVacancia	[]	31-40	2	0.0	1
3264	Dankzij waardigheid en rechtvaardigheid	No	6		[]	0-10	0	0.0	3
16218	Zoals altijd, Veronica, iedereen, goedemorgen, iedereen.	No	10		[]	0-10	0	0.0	4
12736	Nee, nee, maar je hebt het dubbele betaald.	No	9		[]	0-10	0	0.0	0
6046	Luisteren naar de vriend en collega @<USER> bij Escola Feminista Dolors Renau de na de inauguratie van de functie #AliancesFeministes	No	29	#AliancesFeministes	['@Cristina_H_', '@socialistes_cat', '@_donesPSC,', '@SonyaGuerraLpz', '@meritxell_batet', '@carmencalvo_', '@miqueliceta']	21-30	1	0.0	1
8507	De president van de regering heeft zich bereid verklaard de dialoog met de woordvoerders van de oppositie voort te zetten. Maar we zien een oppositie die zich meer bezighoudt met het aanvallen van wat er in dit land moet worden opgebouwd. <USER>@	No	39		[]	31-40	0	0.0	3
19302	Het moet Spanje en zijn burgers zijn.	No	7		[]	0-10	0	0.0	4
6283	Een bos waarin al zijn exemplaren volwassen zijn, er geen jonge bomen zijn, andere levensvormen ontbreken of deze abnormaal lage populaties hebben, ecosystemen verbergen de meest stille uitstervingen die het lege syndroom worden genoemd	No	48		[]	41-50	0	0.0	0
9063	Het beheer van de publieke sector vereist soms de verbreking van overeenkomsten als ze niet langer beantwoorden aan de behoeften van het publiek.	No	21		[]	21-30	0	0.0	4
16804	We moeten onze uitmuntendheid verbeteren en ook die toeristen aantrekken die op zoek zijn naar een andere Spaanse ervaring.	No	18		[]	11-20	0	0.0	4
17006	Dat de regering van de heer Sánchez ze ook niet met de hand wil uitkiezen via het kabinet-Redondo.	No	21		[]	21-30	0	0.0	4
570	demonstratie ter gelegenheid van de herdenking van het bloedbad van #Badajoz; Woensdag 14 augustus 20:30 uur in Baluarte, Trinidad na een strijdlustige rap performance VilaMcYeuh en donderdag 15 11:15 uur concentratie-eerbetoon aan de vermoorde mensen represailles van de fascistische staatsgreep van 1936.	No	43	#Badajoz;	[]	41-50	1	0.0	0
18758	Zie je de bril?	No	3		[]	0-10	0	0.0	4
14890	En de regering, die de bevoegdheden uitoefent die haar door de grondwet zijn verleend om dit recht te kunnen uitoefenen, hebben de burgers van deze democratie en alle andere dat ook.	No	28		[]	21-30	0	0.0	4
4794	"We hebben duizenden leden geïnterviewd om het algemene gevoel van Cs te verzamelen. Het is essentieel dat er nabijheid is tussen de manager en de bases. @<USER> ""We willen de samenleving opwinden, elke dag vertelt Cs ons, het is meer nodig ooit"" #ActualidadCs"	No	49	#ActualidadCs	['@manuelgarciabof']	41-50	1	0.0	0
18583	Wat is er in korte tijd gebeurd van het enkelvoudige commando tot de totale overdracht van bevoegdheden aan de autonome gemeenschappen?	No	19		[]	11-20	0	0.0	4
866	Ik zei<USER> @ dat als wij Spanjaarden onze geschiedenis kenden, we een republiek zouden zijn. Geen enkel leerplichtboek legt uit dat slavernij in Spanje gebruikelijk was tot de onafhankelijkheid van Cuba. Het is om ons te schande te maken	Yes	37		['@NConcostrina']	31-40	0	0.0	1
4372	Triple rechts heeft in Madrid een pact gesloten en de noodklok geluid voor de regering van de State Interview #aSeptiembreARV.	No	23	#aSeptiembreARV🔴📡[1/3]	[]	21-30	1	0.0	0
1086	De snode sociaal-communistische regering blijft onvermoeibaar werken om #España tot de laatste ramp van het toerisme te brengen. (13% BBP van de Spaanse economie)	No	25	#España	[]	21-30	1	0.0	0
5487	Vol spanning op de Plaza Toros Valencia! Volgende halte: La Moncloa! #CreemosElCambio #PabloPresidente	No	20	#CreemosElCambio #PabloPresidente	[]	11-20	2	0.0	3
6211	Ik sta er altijd op dat milieubewustzijn niet wordt gezegd, maar gedaan. En dan moet het worden gedaan van waaruit het echt de kracht kan uitoefenen om substantiële veranderingen te bereiken, om de ecologische crisis het hoofd te bieden. Vandaag sprak ik erover op feestje @<USER> Unidas Podemos	No	49		['@elpce']	41-50	0	0.0	1
2565	Vandaag hebben we in de Raad van Ministers een voortgangsverslag over #Agenda2030 goedgekeurd. Een analyse van waar we staan als land en waar we naartoe willen in de toekomst. Een rapport dat duidelijk maakt om in het licht van de crisis op #MásAgenda2030QueNunca te wedden. DRAAD	Yes	46	#Agenda2030; #MásAgenda2030QueNunca.	[]	41-50	2	0.0	1
14717	De man zal in de maand juli zijn, maar laat dat nu net zo zijn als het eindelijk is opgelost.	No	18		[]	11-20	0	0.0	4
7059	Dankzij de 35 afgevaardigden van #UnidasPodemos zullen we #PGE2022 hebben met een quotum van minimaal 15% vennootschapsbelasting en een huisvestingswet die de huurprijzen zal beperken. En andere verbeteringen: IPREM, Pensioenen, Afhankelijkheid, Energiebonus, vervangingsratio's, openbare werkgelegenheid, IMV	No	42	#UnidasPodemos #PGE2022	[]	41-50	2	0.0	0
4074	Vijfde verschijning van @<USER> #ComisiónDeSanidaYConsumo In de afgelopen weken zijn we gegaan van: een dagelijkse stijging van 25% naar d 0 8a% #TransparenciaInformativa #ControlParlamentario	Yes	27	#ComisiónDeSanidaYConsumo #TransparenciaInformativa #ControlParlamentario	['@salvadorilla', '@gpscongreso']	21-30	3	0.0	0
4186	Met hun betrokkenheid maken de 13.500 vrijwilligers die deelnemen aan het<USER> @-programma honderden activiteiten en programma's van de gemeenteraad mogelijk. Bedankt allemaal, jullie zijn een bron van trots voor de stad!	No	34		['@voluntmadrid', '@MADRID.']	31-40	0	0.0	3
7894	"Deze brief van Cristina Fallarás is niet alleen gericht aan de president van de regering, maar aan de hele samenleving. Aan degenen onder ons die hebben gezegd: ""Juana is in mijn huis"" en niet. Omdat we ervan overtuigd zijn dat deze realiteit door ons heen gaat. En daar moeten we verandering in brengen."	No	42		[]	41-50	0	0.0	4
19534	Dat zei een Franse dichter Poule na Vrouw is de toekomst van de man en de mensheid.	No	23		[]	21-30	0	0.0	1
14227	We hebben veel economische voorstellen gedaan omdat de economie letterlijk op sterven na dood is en we niet aan de zijlijn kunnen blijven staan.	No	21		[]	21-30	0	0.0	4
13204	Nou, uiteindelijk, hoe vertellen ze het hun kiezers?	No	10		[]	0-10	0	0.0	4
15090	Wanneer doe je dat?	No	2		[]	0-10	0	0.0	4
4196	@<USER> : Wat El País vandaag publiceert, bevestigt wat alle openbare en particuliere instellingen de afgelopen maanden hebben gezegd: het werkelijke aantal sterfgevallen bedroeg meer dan 40 duizend mensen.	Yes	36		[]	31-40	0	0.0	0
13233	Ik wacht al twee jaar op de vernieuwing van de Algemene Raad voor de Rechterlijke Macht door de heer Casado.	No	15		[]	11-20	0	0.0	2
10328	Zij zijn de artsen die beslissen wanneer PCR wordt toegepast en stoppen met toepassen.	No	17		[]	11-20	0	0.0	0
15559	Dat is zo ver als we zijn gekomen.	No	4		[]	0-10	0	0.0	4
15975	Nu ben ik Bethlehem.	No	3		[]	0-10	0	0.0	4
