tweet_id	tweet_text	class_label	text_length	hashtags	mentions	text_length_category	class_label_encoded	hashtags_frequency	hashtags_sentiment	hashtags_topics
30313	<s></s><s>And so I know that this campaign has caused some questioning and worries on the part of many leaders across the globe.</s>	No	118			100+	0	0	0.0	0
19099	<s>Now, let's balance the budget and protect Medicare, Medicaid, education and the environment.</s>	No	94			91-100	0	0	0.0	0
33964	<s>I'd like to mention one thing.</s>	No	30			21-30	0	0	0.0	0
16871	<s>I must remind him the Democrats have controlled the Congress for the last twenty-two years and they wrote all the tax bills.</s>	Yes	124			100+	1	0	0.0	0
13150	<s>And to take a chance - now be - and not make every effort that we could make to provide for some control over these weapons, I think would be a great mistake.</s>	No	160			100+	0	0	0.0	0
13386	<s>Well, what he is saying there in effect, we're going to have inflation.</s>	No	73			71-80	0	0	0.0	0
28916	<s>I'm proud of the fact that violent crime is down in the State of Texas.</s>	Yes	71			71-80	1	0	0.0	0
10612	<s>You know, you may have seen your health care premiums go up.</s>	No	62			61-70	0	0	0.0	0
22058	<s>If we're $4 trillion down, we should have everything perfect, but we don't.</s>	Yes	77			71-80	1	0	0.0	0
18005	<s>And I made some tough decisions.</s>	No	32			31-40	0	0	0.0	0
20688	<s>I served for eight years in the House of Representatives and I served on the Intelligence Committee, specialized in looking at arms control.</s>	Yes	142			100+	1	0	0.0	0
14618	<s>I think -- you know, I'm starting to understand it.</s>	No	53			51-60	0	0	0.0	0
32025	<s>But when you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 e-mails that you deleted, and that you acid washed, and then the two boxes of e-mails and other things last week that were taken from an office and are now missing.</s>	Yes	321			100+	1	0	0.0	0
19916	<s>There won't be 10 millionaires and 14 lawyers in the cabinet.</s>	No	61			61-70	0	0	0.0	0
8355	<s>His experience has been different from mine.</s>	No	44			41-50	0	0	0.0	0
29499	<s>And we better be awfully careful.</s>	No	33			31-40	0	0	0.0	0
10170	<s>That's what we need more of, Candy.</s>	No	37			31-40	0	0	0.0	0
17507	<s>And if it's rape, how do you draw moral judgments on that?</s>	No	60			51-60	0	0	0.0	0
20839	<s>And many of the public schools are meeting the call.</s>	Yes	52			51-60	1	0	0.0	0
5733	<s>But when it comes to economic policies, essentially what you're proposing is eight more years of the same thing.</s>	No	114			100+	0	0	0.0	0
9481	<s>And that means 98 percent of American families, 97 percent of small businesses, they will not see a tax increase.</s>	Yes	115			100+	1	0	0.0	0
2903	<s>So these are the ways that we can restore the strength of our country, and they don't require long experience in foreign policy.</s>	No	130			100+	0	0	0.0	0
2110	<s></s><s>And, finally, Medicaid to states?</s>	No	35			31-40	0	0	0.0	0
3187	<s>What is more moral than peace, and the United States is at peace today?</s>	No	73			71-80	0	0	0.0	0
21897	<s>They concluded that my plan would cover everybody and his would leave 27 million behind by the year 2000 and that my plan in the next 12 years would save $2.2 trillion in public and private money to reinvest in this economy and the average family would save $1200 a year under the plan that I offered without any erosion in the quality of health care</s>	Yes	350			100+	1	0	0.0	0
182	<s>What I will do is permit people to buy into Medicaid.</s>	No	53			51-60	0	0	0.0	0
26427	<s>Because we've had tough aggressive trade policies, and because we've got interest rates down.</s>	Yes	95			91-100	1	0	0.0	0
14106	<s>On the 2nd debate, I offered, since both sides want the enterprise zones and we can't get together, I said I'll take a few days off and go to Washington and hold hands with you and we'll get it done.</s>	Yes	201			100+	1	0	0.0	0
1017	<s>Now we will probably need to increase that to same extent.</s>	No	58			51-60	0	0	0.0	0
1072	<s>But I do make a pledge that in the next ten days when we're asking the American people to make one of the most important decisions in their lifetime, because I think this election is one of the mast vital in the history of America, that - we do together what we can to stimulate voter participation.</s>	No	301			100+	0	0	0.0	0
20158	<s>They're the ones who have the challenges and they are people out there making predictions that it's not going to be the same.</s>	No	125			100+	0	0	0.0	0
14683	"<s>I really can't believe Mr. Bush is still trying to make trust an issue after read my lips""and 15 million new jobs and embracing what he called voodoo economics and embracing an export enhancement program for farmers he threatened to veto and going all around the country giving out money in programs that he once opposed.</s><s>""</s>"	Yes	324			100+	1	0	0.0	0
13343	<s>One of the additional powers that I would suggest would be seizure.</s>	No	67			61-70	0	0	0.0	0
13640	<s>This is going to take fair, shared sacrifice.</s>	No	47			41-50	0	0	0.0	0
27204	<s>And for that to happen, we have to strengthen our economy here at home.</s>	No	73			71-80	0	0	0.0	0
17582	<s>And, as a matter of fact, it just so happens that in the quirks of administering these taxes, those above $50,000 actually did not get quite as big a tax cut percentage-wise as did those from 50,000 down.</s>	Yes	206			100+	1	0	0.0	0
171	<s>We've had enough of that, ladies and gentlemen.</s>	No	49			41-50	0	0	0.0	0
16499	<s>Well, Mr. Ford is - is changing considerably his previous philosophy.</s>	Yes	71			71-80	1	0	0.0	0
25783	<s>You do a lot of things nobody knows about.</s>	No	42			41-50	0	0	0.0	0
25904	<s>That's why I brought the leaders to Washington a few days ago.</s>	No	62			61-70	0	0	0.0	0
16745	<s>It called for an increase in the production of energy in the United States.</s>	Yes	75			71-80	1	0	0.0	0
1759	<s>And I do, both for corporations and for individuals.</s>	No	54			51-60	0	0	0.0	0
26856	<s>If we do those things we will build that bridge to the 21st Century and the greatest country in history will be even greater.</s>	No	125			100+	0	0	0.0	0
7859	<s>I've been critical of this Administration and I've been critical of the President.</s>	No	82			81-90	0	0	0.0	0
22249	<s>Now, as long as we put up with that, that's what you're going to get.</s>	No	71			71-80	0	0	0.0	0
26990	<s>I'm not going to wear rose-colored glasses when it comes to Russia, or Mr. Putin.</s>	No	83			81-90	0	0	0.0	0
24368	<s>We are the one that worked out the prison labor deal.</s>	Yes	53			51-60	1	0	0.0	0
19031	<s>That's the country that I'm going to fight for.</s>	No	47			41-50	0	0	0.0	0
20849	<s>Show us if they are learning to read, write, add and subtract and if so there will be bonus plans.</s>	No	100			91-100	0	0	0.0	0
22441	<s>Sure, you can do that with Congress.</s>	No	38			31-40	0	0	0.0	0
747	<s>We've got to treat it as international crime.</s>	No	45			41-50	0	0	0.0	0
3935	<s>Yes, I think we need more troops.</s>	No	35			31-40	0	0	0.0	0
21211	<s>And like John McCain, I have learned from experience, and it's not a new position for me.</s>	No	91			91-100	0	0	0.0	0
13340	<s>I have suggested that the president should be given other weapons to protect the national interest in case of national emergency strikes beyond the injunction provision of the Taft-Hartley Act.</s>	Yes	193			100+	1	0	0.0	0
25218	<s>And we know what happened.</s>	No	26			21-30	0	0	0.0	0
20476	<s>I know the oil companies have been itching to do that, but it is not the right thing for the future.</s>	No	102			100+	0	0	0.0	0
505	<s>Well, I must have been living through a different eight years then the ones the vice president's been living through, because this administration has cut and slashed and cut and slashed programs for children, for nutrition, for the kinds of things that can help these youngsters to live better lives.</s>	Yes	302			100+	1	0	0.0	0
1810	<s>What I've said is I won't put in place a tax cut that adds to the deficit.</s>	No	74			71-80	0	0	0.0	0
33391	<s>Now, what I am also arguing is that bringing undocumented immigrants out from the shadows, putting them into the formal economy will be good, because then employers can't exploit them and undercut Americans' wages.</s>	No	216			100+	0	0	0.0	0
7285	<s>Neighborhoods are safer when we crack down on people who commit crimes with guns.</s>	No	81			81-90	0	0	0.0	0
13900	<s>Look, I am a job creator, not a job destroyer.</s>	No	48			41-50	0	0	0.0	0
28340	<s>Look, the problem is that under Governor Bush's plan, $1.6 trillion tax cut, mostly to the wealthy, under his own budget numbers, he proposes spending more money for a tax cut just for the wealthiest 1% than all the new money he budgets for education, health care and national defense combined.</s>	Yes	296			100+	1	0	0.0	0
1906	<s>I think first of all, let me -- let me repeat -- let me repeat what I said.</s>	No	77			71-80	0	0	0.0	0
9159	<s>When you come out in 2014, I presume I'm going to be president.</s>	No	65			61-70	0	0	0.0	0
27760	<s>It's not my term, it's the president's own Secretary of Defense, called them devastating.</s>	Yes	91			91-100	1	0	0.0	0
24845	<s>The US came together as we haven't in many, many years.</s>	No	57			51-60	0	0	0.0	0
24500	<s>Our funding for recovery is up, recovering the addicts.</s>	Yes	57			51-60	1	0	0.0	0
27506	<s>I think they saw weakness where they had expected to find American strength.</s>	No	76			71-80	0	0	0.0	0
18131	<s>Now, that is not the judgment that a president of the United States ought to make.</s>	No	84			81-90	0	0	0.0	0
14239	<s>I love the fact that people will listen to a guy with a bad accent and a poor presentation manner talking about flip charts for 30 minutes, because they want the details.</s>	No	172			100+	0	0	0.0	0
10893	<s>Tom, wave like that and I'll look at you.</s>	No	43			41-50	0	0	0.0	0
18716	<s>I'm interested in working with our nations and do a lot of it.</s>	No	62			61-70	0	0	0.0	0
17320	<s>The platform to which the President refers, in fact, calls for a religious test in the selection of judges.</s>	No	109			100+	0	0	0.0	0
757	<s>Now, it's fine to say that sometimes you have to hit base camps, but when the president saw this state sponsored-fingerprints of Muammar Khadaffi on the loss of American life, he hit Libya.</s>	Yes	191			100+	1	0	0.0	0
21178	<s>We need to say we each need to be responsible for what we do.</s>	No	61			61-70	0	0	0.0	0
21105	<s>Your future benefits would be cut by the amount that's diverted into the stock market.</s>	Yes	86			81-90	1	0	0.0	0
24225	<s></s><s>And so I'll just be asking for support to get that put into effect.</s>	No	67			61-70	0	0	0.0	0
14089	<s>And we're in real trouble on that.</s>	No	34			31-40	0	0	0.0	0
27087	<s>I believe he will go.</s>	No	21			21-30	0	0	0.0	0
26558	<s>Third thing I think we need is more forums like this, which is one of the reasons I have so strongly supported campaign finance reform.</s>	No	137			100+	0	0	0.0	0
7992	<s>And he defined that as someone who uses beans in place of meat.</s>	No	63			61-70	0	0	0.0	0
15901	<s>But when I was in that little church across the river from Washington and saw our grandchild christened in our faith, I was very pleased indeed that the mother had not aborted that child, and put the child up for adoption.</s>	No	224			100+	0	0	0.0	0
22315	<s>There are 9 countries that spend more than we do on public education.</s>	Yes	69			61-70	1	0	0.0	0
3378	<s>As we have seen tonight, foreign policy and defense policy are difficult and complex issues.</s>	No	94			91-100	0	0	0.0	0
23151	<s>Maybe you think that makes sense.</s>	No	33			31-40	0	0	0.0	0
7115	<s>We're continuing to increase manpower and equipment.</s>	Yes	52			51-60	1	0	0.0	0
8056	<s>Some of them have been Democrats and some of them have been Republicans.</s>	No	72			71-80	0	0	0.0	0
16508	<s>And this is what the Republicans have done to us.</s>	No	49			41-50	0	0	0.0	0
20431	<s>I want to develop the coal resources in America.</s>	No	48			41-50	0	0	0.0	0
1778	<s>So any -- any language to the contrary is simply not accurate.</s>	No	62			61-70	0	0	0.0	0
18387	<s>I know we're not going to achieve our objective if we send mixed signals to our troops, our friends, the Iraqi citizens.</s>	No	122			100+	0	0	0.0	0
20244	<s>And I also think it's very important to go to the next stage of welfare reform.</s>	No	79			71-80	0	0	0.0	0
30106	<s>You look at the Middle East, it's a total mess.</s>	No	49			41-50	0	0	0.0	0
32249	<s>We're going to block grant into Medicaid into the states...</s>	No	59			51-60	0	0	0.0	0
