tweet_id	tweet_text	class_label	hashtags	mentions	sentiment_category	text_length_category	class_label_encoded	hashtags_frequency	hashtags_sentiment	hashtags_topics
1192517071348699136	Mañana viernes no puedes perderte el gran acto de cierre campaña en Madrid. A las 19.00 h Pabellón 1 IFEMA (Madrid). Con Kiko Veneno y O'Funk'illo concierto la intervención @<USER> ... ¡Te esperamos!	No	[]	['Pablo_Iglesias_,', 'AdaColau,', 'Irene_Montero_,', 'agarzon...']	very_negative	41-50	0	0	0.0	0
1220987059701190656	DIRECTO Reyes Maroto: "Si nos centramos en las sinergias la legislatura al menos parte del gobierno va a funcionar muy bien. Además los ministros y ministras llevamos bien"	No	[]	[]	negative	31-40	0	0	0.0	4
1226786513226280961	@<USER> diputado : "Que los partidos catalanes nacionalistas encuentren un Mínimo Común Denominador es difícil. Sobre todo si se intentan sembrar la discordia y represión provoca adelanto electoral."	No	[]	['JonInarritu', 'EHBilduCongreso', 'JonInarritu,', 'EHBilduCongreso:']	negative	31-40	0	0	0.0	2
1217566329823252481	@<USER> vuelve a quedar en evidencia. Desplaza al minuto 18 la denuncia del #CGPJ ante las críticas de Iglesias y habla diferencias. Exigimos responsable edición telediario explicaciones Sánchez que deje utilizar su antojo	Yes	['CGPJ']	['tve_tve', 'rtve', 'Enric_Hernandez']	negative	41-50	1	1	0.0	2
1172059020095610881	El nuevo curso escolar en #Andalucía comienza con... mayor presupuesto de su historia 750 nuevos profesores más que nunca 3.000 funcionarios antes eran interinos Son hechos: la oposición miente cuando dice estamos desmantelando educación pública.	Yes	['Andalucía']	[]	negative	41-50	1	1	0.0	4
1226461787635245056	Pernando Barrena: "En 2021 pueden abrirse escenarios realmente muy complicados" @<USER>	No	[]	['ehbildu']	negative	11-20	0	0	0.0	1
1218228024249896966	El #PINParental no solo me parece polémico sino de auténtico sentido común. Impecable aquí @<USER> explicando el concepto en un minuto	No	['PINParental']	['ivanedlm']	negative	21-30	0	1	0.0	0
1219218559534059523	DIRECTO| @<USER> presidente de anuncia la iniciativa parlamentaria para ilegalizar a partidos que pongan en peligro Constitución y unidad España #ESP20E	No	['ESP20E']	['Santi_ABASCAL,', 'vox_es,']	positive	21-30	0	1	0.0	0
1217829210808557569	Muy bien explicado lo del pin rojo por @<USER> Algunos llevamos años usándolo como símbolo antifascista y seguiremos haciéndolo.	No	[]	['MonederoJC']	negative	21-30	0	0	0.0	2
1226480356955693056	El PP se equivoca total y completamente excluyendo a VOX en las mesas del Congreso. hizo lo mismo la Asamblea de Madrid pactando con PSOE Cs Más Podemos contra VOX. Que el no eche culpa al porque C. también prefirió izquierda.	Yes	[]	[]	very_negative	51-60	1	0	0.0	3
1259920819834191872	Si algo define a @<USER> es que siempre está ahí cuando más se le necesita. #CRUZROJARESPONDE ha movilizado de 40.000 voluntarios durante el Covid19. Hoy hemos ido su sede darles las gracias junto SM La Reina quien agradezco preocupación por Madrid.	Yes	['CRUZROJARESPONDE']	['CruzRojaEsp']	positive	41-50	1	1	0.0	1
1166286413777780736	El funeral por el #gudari José Moreno se celebrará mañana miércoles a las 19:00 horas en la iglesia Santa María de Portugalete.	No	['gudari']	[]	very_negative	21-30	0	1	0.0	0
1226086367710580737	Hoy @<USER> se ha unido a PSOE PODEMOS y ERC. Este pacto parece hecho en la Cárcel de Lledoners. Es una conjura contra Sanidad ya que el PP pactado con aquellos quieren desmembrarla destrozar MIR. es única verdadera alternativa.	Yes	[]	['populares', 'vox_es']	very_positive	41-50	1	0	0.0	0
1174075842445623297	? A partir de las 22:35h @<USER> entrevistará en a la portavoz el Congreso #EleccionesNoviembre2019 Escúchala aquí	No	['EleccionesNoviembre2019']	['adelgadoRne', '24horas_rne', 'JuntsXCat', 'LauraBorras']	very_negative	21-30	0	1	0.0	0
1219901185437708288	¡La educación no es un arma política! @<USER> "El PSOE maestro de la demagogia cuando hay que hablar financiación y Pacto Nacional por Educación intentan desviar atención" #LosDesayunos	No	['LosDesayunos']	['JuanMarin_Cs']	very_negative	31-40	0	1	0.0	2
1220064147389337600	Llegamos al Gobierno para mejorar la vida de gente. En su segunda semana el coalición ha pactado con patronal y sindicatos subida del SMI en 14 meses. Estamos cumpliendo. #SMI950. Sí se puede.	No	['SMI950.']	[]	positive	31-40	0	1	0.0	3
1168848163387654144	El Gobierno reconoce a @<USER> que en materia humanitaria solo 2019 el total de lo destruido y o confiscado por Israel donde consta participación española asciende 68.700 euros.	Yes	[]	['ensanro']	negative	31-40	1	0	0.0	0
1218673618613346305	.@<USER> "El 'pin parental' es un intento más de la extrema derecha para volver a tiempos pretéritos" #L6Nrufián	No	['L6Nrufián']	[]	negative	11-20	0	1	0.0	2
1174258051479756800	?Revisión del caso #Altsasu en el Tribunal Supremo La defensa pide la absolución de los acusados y que se elimine agravante "discriminación" ha hecho las penas sean hasta 13 años. Más 1.000 días cárcel #EnJake @<USER>	Yes	['Altsasu', 'EnJake']	['Xlapitz']	very_positive	41-50	1	2	0.0	3
1191747000406073345	Jugar a "encuentra las diferencias" cuando se trata de VOX y del PP es imposible: el juez Serrano obtuvo un préstamo público 2 48 millones que jamás devolvió para una fábrica nunca terminó.	Yes	[]	[]	negative	31-40	1	0	0.0	2
1265350762344955906	Hemos movilizado a la comunidad internacional para que preste más ayuda millones de venezolanos desplazados y los países América Latina acogen. Los donantes internacionales han suscrito compromisos por un total 2.544 millones. Gracias!	Yes	[]	[]	negative	31-40	1	0	0.0	3
1288370638030282752	No es de recibo que aquellos han atentado contra la unidad España gocen beneficios penitenciarios. Las autonomías y las cesiones competencias (como instituciones penitenciarias) son el más firme aliado los buscan fractura Nación.	No	[]	[]	very_negative	41-50	0	0	0.0	0
1186723110587904000	¡Recibimiento de CAMPEONES! Así fue la acogida para nuestros héroes en los Global Games disputados Australia nada más aterrizar Madrid. 49 medallas ha logrado el #TeamESP este Mundial personas con discapacidad intelectual.	No	['TeamESP']	[]	positive	31-40	0	1	0.0	3
1268199989358059521	Coronavirus: La Generalitat suspende las ayudas para pagar el alquiler ante la avalancha de solicitudes Cataluña EL PAS	Yes	[]	[]	negative	21-30	1	0	0.0	0
1301829382651154432	Vídeo reunión con #ANETRA Asociación Nacional Empresarios Transportes en Autocares formada por más de 9000 empresas: Estamos heridos muerte #MotivosParaLaMoción @<USER> hemos registrado iniciativas para proteger a 11 000 trabajadores directos.	Yes	['ANETRA', 'MotivosParaLaMoción']	['PatriciadlHeras', 'VOX_Congreso']	negative	31-40	1	2	0.0	0
1229887345958232066	Ya hay más potencia eólica que nuclear en el Viejo Continente. Europa supera listón de los 200.000 megavatios instalada @<USER> #eolica #renovables vía	Yes	['eolica', 'renovables']	['WindEurope', 'aeeolica', 'APPA_Renovables', 'ERenovables']	negative	31-40	1	2	0.0	4
1184085961854111745	El PSOE demostró su apoyo a Torra durante la moción #PorLaConvivencia @<USER> "Cs sigue siendo el referente incontestable del Constitucionalismo en Cataluña. No podemos dejar futuro de 7 5 millones catalanes manos Torra" #ActualidadCs	No	['PorLaConvivencia', 'ActualidadCs']	['Lroldansu']	very_negative	31-40	0	2	0.0	0
1266416479911776270	Borrás: @<USER> ha venido a dar voz sectores que nunca antes han sido escuchados	No	[]	[]	positive	11-20	0	0	0.0	0
1281991357389844485	Fue histórico inolvidable maravilloso muchos dicen que será irrepetible... Un país unido por el Deporte y los colores de su bandera...tan solo hace diez años. Ojalá todo se vuelva a repetir...ESPAA #campeonesdelmundo	No	['campeonesdelmundo']	[]	negative	31-40	0	1	0.0	1
1220350394049667072	Exactamente expresident. No ha cambiado nada. eras presidente ayer y sigues sin serlo hoy. A ver si se entera Sánchez suspende vuestra reunión fake.	No	[]	[]	very_negative	21-30	0	0	0.0	1
1218137295188123648	Pedro Sánchezha dado el visto bueno a la apertura de las 'embajadas' catalanas enArgentina MéxicoyTúnez. Empiezan cesiones sus socios separatistas. Incrementan gasto en majaderías despreciando urgencia política sociales.	Yes	[]	[]	positive	31-40	1	0	0.0	3
1279788972470870018	Torra se cargó en 24 horas 3 días de la fase 2 y los 15 Lleida. tiene las competencias trabajo. sanidad. sobre Mossos Pero les ha faltado tiempo para echar culpa al gobierno España.	Yes	[]	[]	positive	51-60	1	0	0.0	3
1188081539042689025	MADRID. Plaza de Colón. Si la Delegación del Gobierno Pedro Sánchez dice que hemos sido 20.000 en el acto VOX... ¡imaginad cuantos sido! #EspañaSiempre #Madrid #PlazaDeColón	No	['EspañaSiempre', 'Madrid', 'PlazaDeColón']	[]	negative	21-30	0	3	0.0	0
1101098306854445058	El 54 7% cree que hubiera sido bueno aprobar los #PGE19. 46 4 de votantes Cs en 2016 creen aprobarlos. #CIS	Yes	['PGE19.', 'CIS']	[]	negative	21-30	1	2	0.0	4
1171723051664367616	Quienes cometen delitos en Cataluña deben saber que también los España y Europa. Los huyen de la Justicia española europea. Así lo ha dicho @<USER> hoy ?	No	[]	['Albert_Rivera']	positive	31-40	0	0	0.0	0
1218171929745674240	Vuelve a ver las intervenciones de @<USER> en donde debatió sobre... ...el nombramiento Delgado la politización justicia española el #PINParental y contradicciones derecha sobre legitimidad legalidad.	No	['PINParental']	['OskarMatute', 'Lanoche_24h']	negative	31-40	0	1	0.0	3
1178709348060663808	El precio del alquiler en la Unión Soviética estuvo congelado desde el año 1928 (10% salario) hasta 1982 (2% salario). A David Pérez le interesa más otro modelo de gestión lo público como exitoso Eurovegas o regalar ilegalmente vivienda social a fondos buitre.	Yes	[]	[]	negative	41-50	1	0	0.0	4
1167512471118237698	Hoy en el #CMin hemos aprobado las dos convocatorias de ayudas a #investigación I+D+I más importantes la Agencia Española Investigación. Juntas suman 622 millones euros. Menos retrasos y menos burocracia para conocimiento progreso.	Yes	['CMin', 'investigación']	[]	negative	41-50	1	2	0.0	4
1217909981070143505	A @<USER> en este tuit le falta una aclaración: la Ley totalitaria que permite el adoctrinamiento de nuestros hijos los colegios Madrid fue creada y aprobada por PP. #PINParental	Yes	['PINParental']	['TeoGarciaEgea']	negative	31-40	1	1	0.0	0
1224653691812286465	Alerta entre médicos y estudiantes por el posible traspaso del MIR a Cataluña Acabarían con examen único en toda España la "joya de corona" nuestro sistema El Sindicato Médico Catalán "El tiene un grado categoría profesional enorme nivel internacional"	Yes	[]	[]	negative	41-50	1	0	0.0	1
1227606925472419840	0 45%. Es el "click-through rate" (% que abre enlace) de artículos compartidos por cuentas con más 10.000 seguidores. O sea 99 55% los ven este tuit no irá al párrafo 10 donde dice España dio 1 5 millones (10 veces MS Cataluña) a la mismísima comisión.	Yes	[]	[]	very_negative	51-60	1	0	0.0	0
1180431779293011970	¡Ya somos TT 1 en España! Sin vuestro apoyo Podemos no tendría sentido. Salimos estas elecciones a ganar las instituciones para la gente. Con vosotros y vosotras ¡sí se puede! #ElPoderDeLaGente	Yes	['ElPoderDeLaGente']	[]	positive	31-40	1	1	0.0	3
1199662756963717121	¡Enhorabuena @<USER> ! Mis mejores deseos para sus nuevas responsabilidades al frente de la .	No	[]	['SalvatoSciacchi!', 'icao.']	negative	11-20	0	0	0.0	1
1215928564505305088	En el marco del Forum 2020 de la asociación China EV100 secretario general Industria y Pyme Raül Blanco se ha reunido con director para Europa BYD empresa china fabricante vehículos eléctricos.	No	[]	[]	positive	31-40	0	0	0.0	1
1217753504938369025	Camino de Vitoria donde trasladaré a sindicatos y empresarios las prioridades en materia industrial del Gobierno desde la serenidad responsabilidad el realismo visión futuro. España necesita compromiso esfuerzo todos para impulsar nuestra industria.	No	[]	[]	negative	41-50	0	0	0.0	4
1281901919083126784	Don @<USER> no se lo cree ni Vd. Y el cartel de detrás debía decir : SOM UN DESASTRE UNA FALLADA GREU. Illa dice que España es donde mejor ha controlado la pandemia en pleno auge los rebrotes.	No	[]	['salvadorilla']	neutral	41-50	0	0	0.0	1
1186988785705345024	Vacunados fantasma. Cursos Dependencia Listas de espera fantasmas. Prejubilaciones Fondos Europeos El Psoe es un partido lo más paranormal.	No	[]	[]	negative	21-30	0	0	0.0	3
1217506168098127876	Dejo temporalmente mi trabajo en la @<USER> para incorporarme como Secretario de Estado a Vicepresidencia Derechos Sociales y Agenda 2030. Ha sido un privilegio enseñar economía UAM. Será honor impulsar los derechos sociales este país junto	No	[]	['UAM_Madrid', 'PabloIglesias']	very_positive	41-50	0	0	0.0	0
1186547505108049920	EH Bildu 148 (+01) P. Popular 147 Cada papeleta de en Araba el próximo #10N estará llena responsabilidad y orgullo. Orgullo por ser los las alavesas quienes dejemos sin representantes aquí a la derecha española reaccionaria. #GoazenIñaki	No	['10N', 'GoazenIñaki']	[]	very_negative	41-50	0	2	0.0	0
1219938024814972929	Estamos trabajando para que el proyecto de la Y vasca sea una realidad cuanto antes. Hasta fecha se han ejecutado más 3.500 millones euros acercar Euskadi a todos los ciudadanos nuestro país y del resto Europa. #BasqueRailway	Yes	['BasqueRailway']	[]	negative	41-50	1	1	0.0	4
1290303687626113025	Podemos admite por primera vez pérdidas tras las debacles electorales: 2.648.097 en 2019: La pregunta es ¿ que banco le prestará el dinero? Por si acaso antes de se lo regalen #MocionSeptiembre	Yes	['MocionSeptiembre']	[]	negative	31-40	1	1	0.0	1
1205538674118713344	Hoy he estado con el vicepresidente del Banco Central Europeo Luis de Guindos. Con su nombramiento la Europa Euro reconoció que política económica Partido Popular es una referencia internacional y pronto volverá a serlo.	No	[]	[]	positive	31-40	0	0	0.0	0
1261010212405874688	Tengo la suerte de contar con unos compañeros o as excelentes en el @<USER> y cada semana se asoma un@ al IGlive Pasaron ya Hoy he charlado política que viene Próximo martes: Respuesta UE a crisis	No	[]	['gpscongreso', 'Viondi', 'J_Zaragoza_', 'lauraberja86', 'afernb', 'perejoanpons']	very_negative	41-50	0	0	0.0	1
1186654535105818624	En España hay un 40% de energía renovable con el impulso los gobiernos del PP. Creamos primer Ministerio Medio Ambiente ratificamos acuerdos Kioto y París legislamos para acabar residuos plásticos... seguiremos luchando contra cambio climático.	Yes	[]	[]	negative	41-50	1	0	0.0	1
1217731973453701121	Joan Baldoví sobre las declaraciones de Pablo Iglesias los tribunales españoles: "Me pareció bien lo que dijo (...) Determinados organismos tienen la piel muy fina" #LosDesayunos	No	['LosDesayunos']	[]	negative	31-40	0	1	0.0	0
