tweet_id	tweet_text	class_label	text_length	hashtags	mentions	text_length_category	hashtags_frequency	hashtags_sentiment	hashtags_topics
197	En los últimos cuatro años se han perdido medio millón de puestos de trabajo en el sector manufacturero.	Yes	74			71-80	0	0.0	0
11717	Y, por lo tanto, solo los niños estaban siendo arrastrados por la escuela.	No	63			61-70	0	0.0	0
11071	No puedes liderar una alianza si dices, ya sabes, que vas solo.	No	71			71-80	0	0.0	0
2136	Dicen, ¿para qué necesitamos esto?	No	37			31-40	0	0.0	0
7768	Creo que si vas a tener desgravaciones fiscales, todo el mundo se beneficia.	No	65			61-70	0	0.0	0
6387	Y creo que depende en gran medida de lo que hagamos aquí en este país.	No	75			71-80	0	0.0	0
684	Dice: Bueno, admitamos que la administración ha estado haciendo negocios con Noriega.	Yes	92			91-100	0	0.0	0
12348	Porque el cambio soviético aún no está plenamente establecido.	No	55			51-60	0	0.0	0
21108	Te daré un ejemplo.	No	25			21-30	0	0.0	0
4992	Voy a darle un nuevo rumbo a esta economía en este país.	No	66			61-70	0	0.0	0
11821	Y tenemos una amplia gama de diferencias en eso.	No	51			51-60	0	0.0	0
7788	Si saben que van a ayudar a tomar decisiones y no van a ser excluidos de ser parte involucrada en el propósito nacional.	No	132			100+	0	0.0	0
7004	Conozco a estas personas y conozco a sus familias.	No	45			41-50	0	0.0	0
6066	Las etiquetas no encajan, señoras y señores.	No	41			41-50	0	0.0	0
21830	Hemos tenido un gran éxito en mi propio estado.	No	40			31-40	0	0.0	0
2910	Tengo un plan para Irak.	No	23			21-30	0	0.0	0
2946	Y también tiene razón en que a menudo los cabilderos y los intereses especiales son los que introducen este tipo de solicitudes, aunque ese no fue mi caso.	Yes	167			100+	0	0.0	0
15120	Y creo que disciplinaría no solo al Congreso, que lo necesita, sino también al Poder Ejecutivo.	No	103			100+	0	0.0	0
13091	Por lo tanto, está aumentando el costo.	Yes	23			21-30	0	0.0	0
12654	Cuando protestaron por eso y sugirieron un número menor, tal vez, estuve de acuerdo.	No	91			91-100	0	0.0	0
5599	Me gustaría entender quién fue el que hizo esto, cuál fue la idea detrás de esto, por qué llevó a la violencia, a que miles de armas fueran a parar a los capos de la droga mexicanos.	Yes	154			100+	0	0.0	0
5837	En primer lugar, la Unión Soviética, si he criticado algunos de los acuerdos anteriores, es porque hemos sido superados en las negociaciones durante bastante tiempo.	No	154			100+	0	0.0	0
7049	Así es como nos aseguramos de que todos estén dispuestos a hacer algunos sacrificios.	No	75			71-80	0	0.0	0
3341	Sí, entiendo lo que significa para el comandante en jefe.	No	60			51-60	0	0.0	0
15801	Me gusta Meg Whitman, ella sabe lo que es estar en el mercado.	No	82			81-90	0	0.0	0
15853	Hemos creado un desastre, no tenemos mucho que mostrar y tenemos que arreglarlo.	No	81			81-90	0	0.0	0
4307	Y el presidente dijo que nunca, nunca, nunca aumentaría los impuestos en Nueva Jersey, y al cabo de un día Marlin Fitzwater, su portavoz, dijo ahora que eso no es una promesa.	Yes	162			100+	0	0.0	0
13008	Y hemos ejercido una presión comercial sin precedentes sobre China.	No	52			51-60	0	0.0	0
233	Y permítanme dar un paso atrás y decirles lo que me gustaría hacer con nuestra política de inmigración en general e incluir una respuesta a su pregunta.	No	133			100+	0	0.0	0
10559	Me ocuparé de ellos desde el día 1.	No	33			31-40	0	0.0	0
14426	Tengo un historial de reformas, y enfrentándome a mi partido, al otro partido, a los intereses especiales, ya sea una Declaración de Derechos de los Pacientes de HMO, o tratando de limpiar el sistema de financiamiento de campañas en este país, o ya sea el establecimiento de una Comisión 911, tengo un largo historial de ello.	Yes	292			100+	0	0.0	0
6725	Tuvo la oportunidad de hacer algo con Siria.	No	44			41-50	0	0.0	0
3583	Lo he tenido en cada una de las propuestas que he enviado al Congreso.	Yes	65			61-70	0	0.0	0
6202	Decide quién crees que hará el trabajo.	No	37			31-40	0	0.0	0
8293	Lo que todos vimos y escuchamos el viernes fue a Donald hablando de las mujeres, de lo que piensa de las mujeres, de lo que les hace a las mujeres.	No	120			100+	0	0.0	0
13044	Creo que tenemos que tener moderación fiscal.	No	43			41-50	0	0.0	0
14362	Permítanme darles un ejemplo rápido.	No	34			31-40	0	0.0	0
6075	No podemos dictar los términos de la paz, lo que significa que tienes que ser constante.	No	78			71-80	0	0.0	0
13225	Y además, bajo esta administración, el gasto ha aumentado más de lo que lo ha hecho en los últimos 20 años y le pidió al Congreso que gastara más dinero del que realmente gastó.	Yes	172			100+	0	0.0	0
10388	Pero lo que también he dicho es que por encima de los 250.000 dólares, podemos volver a las tasas impositivas que teníamos cuando Bill Clinton era presidente.	No	120			100+	0	0.0	0
2602	Mi oponente votó en contra de la prohibición.	Yes	34			31-40	0	0.0	0
6172	Y yo, por mi parte, estoy horrorizado de que alguien que es el candidato de uno de nuestros dos partidos principales adopte ese tipo de posición.	Yes	128			100+	0	0.0	0
20732	Japón gasta un poco más del 6% de su producto nacional bruto.	Yes	60			51-60	0	0.0	0
1035	Sólo... ¿Te gustaría escuchar...	No	33			31-40	0	0.0	0
7408	Me alegro de que haya planteado eso, y es un tema crítico.	No	64			61-70	0	0.0	0
5547	Los japoneses, los británicos, los franceses lo hacen.	Yes	46			41-50	0	0.0	0
18318	En tercer lugar, Arthur Gardner, un embajador republicano, Earl Smith, un embajador republicano, sucesivamente, ambos han indicado en las últimas seis semanas que informaron a Washington que Castro era marxista, que Raúl Castro era comunista y que no obtuvieron resultados efectivos.	Yes	280			100+	0	0.0	0
8659	Pero el punto es que a veces la acción-	No	38			31-40	0	0.0	0
10039	Y me sorprendió mucho verlo firmar con el diablo.	No	57			51-60	0	0.0	0
6436	- Me parece que debería haber una oportunidad, siempre que sea voluntaria, siempre que no haya coacción alguna, que un individuo debería tener ese derecho.	No	186			100+	0	0.0	0
16025	Causó la muerte de muchas personas.	Yes	38			31-40	0	0.0	0
21522	Echa un vistazo a Alepo.	No	22			21-30	0	0.0	0
15791	Lo mismo ocurre con las carreteras.	Yes	29			21-30	0	0.0	0
12854	Y es el libre comercio, el comercio justo, lo que debe ser nuestro sello distintivo, y necesitamos más acuerdos de libre comercio, no menos.	No	115			100+	0	0.0	0
14692	Amigos, podemos construir ese puente hacia el siglo XXI, lo suficientemente grande y fuerte como para que todos podamos cruzarlo, y espero que me ayuden a construirlo.	No	151			100+	0	0.0	0
17113	No debemos dividirnos en esta cuestión.	No	37			31-40	0	0.0	0
5348	Hemos puesto patas arriba el país.	No	37			31-40	0	0.0	0
8615	Y la producción en tierras privadas, en tierras del gobierno.	No	50			41-50	0	0.0	0
12682	Te diré que soy el tipo de persona que no contrata ni despide a nadie por su orientación sexual.	No	108			100+	0	0.0	0
2627	Es algo fácil de hacer si solo tienes que pagar una cuenta de 30.000 millones de dólares para defender a tu país.	No	93			91-100	0	0.0	0
21952	Pero me parece más preocupante que esto, que el día después del asesinato del embajador de Estados Unidos, la primera vez que eso ha sucedido desde 1979, cuando.cuando tenemos cuatro estadounidenses asesinados allí, cuando aparentemente no sabíamos lo que sucedió, que el presidente, al día siguiente de que eso sucedió, vuele a Las Vegas para una recaudación de fondos políticos, luego, al día siguiente, a Colorado para otro evento, otro evento político.	Yes	429			100+	0	0.0	0
20858	Ok, Honest Abe, Honest Abe nunca mintió.	No	40			31-40	0	0.0	0
3552	$500 por niño menor de 18 años.	Yes	24			21-30	0	0.0	0
16419	Eso sí que significa el mejor liderazgo.	No	35			31-40	0	0.0	0
10918	Bueno, yo digo que están equivocados, porque voy a crear tremendos empleos.	No	73			71-80	0	0.0	0
15185	Por lo tanto, apoyo el proyecto de ley Brady, que impondría un período de espera nacional a menos que y hasta que un estado haga lo que solo Virginia ha hecho ahora, que es automatizar sus registros.	Yes	177			100+	0	0.0	0
8236	En segundo lugar, le hice al presidente una pregunta que creo que los hispanos y los inmigrantes de todo el país han hecho.	No	111			100+	0	0.0	0
15613	Y la Sociedad Médica de Illinois, la organización de médicos de Illinois, votó en contra.	Yes	94			91-100	0	0.0	0
21635	Y no creo que la mayoría de los estadounidenses puedan hacer eso.	No	47			41-50	0	0.0	0
19427	Y es por eso que estoy tratando de hacer algo al respecto, estimulando la exportación, otorgando más y mejores sistemas educativos.	No	119			100+	0	0.0	0
5982	Pensé que íbamos a tener el mismo tiempo, pero tal vez solo tenga que interrumpir a los otros 2.	No	93			91-100	0	0.0	0
6782	Es fundamental para nuestro futuro.	No	28			21-30	0	0.0	0
12779	Si vamos a proteger a los niños estadounidenses, a las familias estadounidenses y a las personas que viven como prisioneros en su propia casa,tenemos que evitar que las armas sean arrojadas a la calle.	No	175			100+	0	0.0	0
14543	Nosotros, por supuesto, no queremos tener armas automáticas, y eso ya es ilegal en este país tener armas automáticas.	No	124			100+	0	0.0	0
2648	Si eres demasiado peligroso para volar, eres demasiado peligroso para comprar un arma.	No	69			61-70	0	0.0	0
1882	Estamos progresando muy bien.	No	34			31-40	0	0.0	0
21408	No puedes liderar el mundo si no honras las contribuciones de los que están con nosotros.	No	89			81-90	0	0.0	0
2281	Y hace unos cuatro meses, leí en la primera plana del Wall Street Journal que la OTAN está abriendo una importante división terrorista.	Yes	129			100+	0	0.0	0
21404	Pero escucharon al presidente decirles que hemos agregado dinero.	Yes	67			61-70	0	0.0	0
4078	Desde el asesinato de nuestros mejores líderes en los años 60, desde la guerra de Vietnam, desde Watergate, y porque necesitamos una reforma de la financiación de las campañas.	No	144			100+	0	0.0	0
21000	Mi agradecimiento a la Liga de Mujeres Votantes, a los panelistas, al moderador y a la gente de Kansas City por su cálida hospitalidad y saludo.	No	149			100+	0	0.0	0
7330	Obtienes un plan que incluirá medicamentos recetados, un plan que te dará opciones.	No	89			81-90	0	0.0	0
14229	Las fuerzas armadas, las fuerzas convencionales de Estados Unidos, nunca han estado más preparadas.	No	92			91-100	0	0.0	0
14960	Cuando el Sr. Reagan planteó esta cuestión en Florida, el Sr. Ford no sólo renegó de sus instrucciones, sino que incluso abandonó, entre paréntesis, el uso de la palabra distensión.	Yes	172			100+	0	0.0	0
12284	Ahora bien, para lograrlo, hay una salida: una base de empleo creciente y en expansión.	No	77			71-80	0	0.0	0
15468	Ha hecho un trabajo magnífico al lograr que el Primer Ministro de Sudáfrica, Sr. Vorster, esté de acuerdo en que ha llegado el momento de encontrar una solución al problema de Rhodesia.	Yes	161			100+	0	0.0	0
12927	Hace cuatro años, dije que no soy un hombre perfecto y que no sería un presidente perfecto.	No	100			91-100	0	0.0	0
5855	No se puede contratar a un cabildero con los cheques de compensación por desempleo.	No	66			61-70	0	0.0	0
11162	Ahora, con respecto a mi opinión acerca de por qué pensé que su historial indicaba que podría llevarnos de vuelta a las mismas cosas que sabíamos bajo la administración anterior, su historial es que habló en elogios de los déficits varias veces, dijo que no debían ser aborrecidos, que, de hecho, en un momento dijo que deseaba que el déficit pudiera duplicarse. porque estimulan la economía y ayudan a reducir el desempleo.	Yes	426			100+	0	0.0	0
11152	Bueno, con respecto a que esto es una elección personal, ¿no es eso en lo que un asesino está insistiendo, en su derecho a matar a alguien por cualquier falta que crea que lo justifique?	No	182			100+	0	0.0	0
2461	La pregunta es, ¿estaremos mejor dentro de cuatro años de lo que estamos hoy?	No	79			71-80	0	0.0	0
3737	Una vez más, somos proveedores confiables y nunca usaría los alimentos como una herramienta política como lo hicieron nuestros predecesores.	Yes	110			100+	0	0.0	0
16725	Uno de los miembros más antiguos del Comité de Asignaciones Presupuestarias me llamaba el sheriff.	No	96			91-100	0	0.0	0
11156	El problema que tenemos hoy en día es que, como la declaración de derechos del paciente, particularmente con la atención médica, hay muchas disputas en Washington, D.C.	No	143			100+	0	0.0	0
10367	Crecí a 5 cuadras de Arkansas.	No	33			31-40	0	0.0	0
13580	Y solía decirme cosas que yo sabía que no eran del todo exactos.	No	66			61-70	0	0.0	0
9349	En Estados Unidos, en cuestiones morales básicas, siempre hemos dejado que la gente decida en su propia vida personal.	No	104			100+	0	0.0	0
17419	Volveré a subir los ingresos.	No	26			21-30	0	0.0	0
19133	Y mientras él ha sido desviado, con 9 de cada 10 divisiones en servicio activo de nuestro Ejército, ya sea yendo a Irak, regresando de Irak o preparándose para irse, Corea del Norte ha obtenido armas nucleares y el mundo es más peligroso.	Yes	222			100+	0	0.0	0
13601	Y me gustaría ver al Sr. Ford convencer a los polaco-americanos, a los checo-americanos y a los húngaros-americanos de este país de que esos países no viven bajo la dominación y supervisión de la Unión Soviética detrás de la Cortina de Hierro.	No	248			100+	0	0.0	0
5898	Hemos conocido a sus hijos e hijas.	No	36			31-40	0	0.0	0
656	En 1983, como resultado de estas preferencias fiscales, pagó un poco más del 12 por ciento, el 12,8 por ciento en impuestos.	Yes	105			100+	0	0.0	0
12560	Y no voy a aumentar los impuestos, lo que le costará empleos a esta economía.	No	71			71-80	0	0.0	0
17766	Sé que el gobernador no necesariamente está diciendo eso, pero, ya sabes, todos estos vuelos que han llegado, todos ellos han estado de acuerdo con el régimen de sanciones, me dicen, excepto tres en los que notificaron, y están tratando de salirse de la caja, no hay duda al respecto.	Yes	291			100+	0	0.0	0
5651	Al menos tenemos tasas de interés bajas que el Fed puede controlar.	No	61			61-70	0	0.0	0
384	No quiero costar puestos de trabajo.	No	26			21-30	0	0.0	0
12516	Así que cambié el esfuerzo del Departamento de Justicia para hacer que una iglesia devolviera el diezmo a un hombre, porque estaba en bancarrota cuando lo dio.	Yes	128			100+	0	0.0	0
4264	Así que están pasando algunas cosas malas.	No	36			31-40	0	0.0	0
11556	Pero creo que el matrimonio es una institución sagrada.	No	45			41-50	0	0.0	0
3224	He calculado el costo de lo que voy a hacer.	No	39			31-40	0	0.0	0
22230	"Y dijimos: ¿Por qué no eliminar al intermediario?""."	No	46			41-50	0	0.0	0
12666	¿Quieren seguir el liderazgo de Estados Unidos?	No	48			41-50	0	0.0	0
15533	De hecho, distribuimos seguros de gatillo gratuitos en el estado de Texas para que las personas puedan obtenerlos y ponerlos en sus armas para que sus armas sean más seguras.	Yes	158			100+	0	0.0	0
8507	Las opciones no eran buenas entonces.	No	31			31-40	0	0.0	0
